"CDOM.x1"	"CDOM.x2"	"CDOM.mid"
0.77	2.07	1.3
0.77	1.24	0.47
0.44	0.77	0.33
0.67	0.77	0.1
0.72	0.77	0.05
0.59	0.77	0.18
0.25	0.77	0.52
0.22	0.77	0.55
0.46	0.77	0.31
0.48	0.77	0.29
0.4	0.77	0.37
0.77	1.48	0.71
0.77	1.21	0.44
0.77	1.33	0.56
0.77	1.33	0.56
0.7	0.77	0.0700000000000001
0.59	0.77	0.18
0.77	1.34	0.57
0.22	0.77	0.55
1	1	0
1	1.13	0.13
0.93	1	0.07
0.96	1	0.04
1	1.63	0.63
1	2.78	1.78
0.74	1	0.26
1	2.12	1.12
1	2.41	1.41
0.69	1	0.31
1	1.84	0.84
1	2.87	1.87
0.63	1	0.37
0.21	1	0.79
1	1.56	0.56
0.76	1	0.24
0.39	1	0.61
1	1.1	0.1
1	1.84	0.84
1	1.14	0.14
1	3.83	2.83
0.49	1	0.51
1	1.96	0.96
1	1.41	0.41
1	1.5	0.5
1	1.65	0.65
1	1.49	0.49
0.72	1	0.28
1	1.45	0.45
0.92	1	0.08
1	1.12	0.12
1	1.65	0.65
1	1.34	0.34
1	1.01	0.01
1	3.66	2.66
1	2.64	1.64
1	2.08	1.08
1	1.11	0.11
0.98	1	0.02
0.88	1	0.12
0.51	1	0.49
0.43	1	0.57
1	1.02	0.02
1	1.66	0.66
0.66	1	0.34
0.57	1	0.43
1	2.01	1.01
1	1.45	0.45
1	1.23	0.23
1	1.26	0.26
1	2.07	1.07
1	1.24	0.24
0.44	1	0.56
0.67	1	0.33
0.72	1	0.28
0.59	1	0.41
0.25	1	0.75
0.22	1	0.78
0.46	1	0.54
0.48	1	0.52
0.4	1	0.6
1	1.48	0.48
1	1.21	0.21
1	1.33	0.33
1	1.33	0.33
0.7	1	0.3
0.59	1	0.41
1	1.34	0.34
0.22	1	0.78
1	1.13	0.13
0.93	1	0.07
0.96	1	0.04
1	1.63	0.63
1	2.78	1.78
0.74	1	0.26
1	2.12	1.12
1	2.41	1.41
0.69	1	0.31
1	1.84	0.84
1	2.87	1.87
0.63	1	0.37
0.21	1	0.79
1	1.56	0.56
0.76	1	0.24
0.39	1	0.61
1	1.1	0.1
1	1.84	0.84
1	1.14	0.14
1	3.83	2.83
0.49	1	0.51
1	1.96	0.96
1	1.41	0.41
1	1.5	0.5
1	1.65	0.65
1	1.49	0.49
0.72	1	0.28
1	1.45	0.45
0.92	1	0.08
1	1.12	0.12
1	1.65	0.65
1	1.34	0.34
1	1.01	0.01
1	3.66	2.66
1	2.64	1.64
1	2.08	1.08
1	1.11	0.11
0.98	1	0.02
0.88	1	0.12
0.51	1	0.49
0.43	1	0.57
1	1.02	0.02
1	1.66	0.66
0.66	1	0.34
0.57	1	0.43
1	2.01	1.01
1	1.45	0.45
1	1.23	0.23
1	1.26	0.26
1	2.07	1.07
1	1.24	0.24
0.44	1	0.56
0.67	1	0.33
0.72	1	0.28
0.59	1	0.41
0.25	1	0.75
0.22	1	0.78
0.46	1	0.54
0.48	1	0.52
0.4	1	0.6
1	1.48	0.48
1	1.21	0.21
1	1.33	0.33
1	1.33	0.33
0.7	1	0.3
0.59	1	0.41
1	1.34	0.34
0.22	1	0.78
0.93	1.13	0.2
0.96	1.13	0.17
1.13	1.63	0.5
1.13	2.78	1.65
0.74	1.13	0.39
1.13	2.12	0.99
1.13	2.41	1.28
0.69	1.13	0.44
1.13	1.84	0.71
1.13	2.87	1.74
0.63	1.13	0.5
0.21	1.13	0.92
1.13	1.56	0.43
0.76	1.13	0.37
0.39	1.13	0.74
1.1	1.13	0.0299999999999998
1.13	1.84	0.71
1.13	1.14	0.01
1.13	3.83	2.7
0.49	1.13	0.64
1.13	1.96	0.83
1.13	1.41	0.28
1.13	1.5	0.37
1.13	1.65	0.52
1.13	1.49	0.36
0.72	1.13	0.41
1.13	1.45	0.32
0.92	1.13	0.21
1.12	1.13	0.00999999999999979
1.13	1.65	0.52
1.13	1.34	0.21
1.01	1.13	0.12
1.13	3.66	2.53
1.13	2.64	1.51
1.13	2.08	0.95
1.11	1.13	0.0199999999999998
0.98	1.13	0.15
0.88	1.13	0.25
0.51	1.13	0.62
0.43	1.13	0.7
1.02	1.13	0.11
1.13	1.66	0.53
0.66	1.13	0.47
0.57	1.13	0.56
1.13	2.01	0.88
1.13	1.45	0.32
1.13	1.23	0.1
1.13	1.26	0.13
1.13	2.07	0.94
1.13	1.24	0.11
0.44	1.13	0.69
0.67	1.13	0.46
0.72	1.13	0.41
0.59	1.13	0.54
0.25	1.13	0.88
0.22	1.13	0.91
0.46	1.13	0.67
0.48	1.13	0.65
0.4	1.13	0.73
1.13	1.48	0.35
1.13	1.21	0.0800000000000001
1.13	1.33	0.2
1.13	1.33	0.2
0.7	1.13	0.43
0.59	1.13	0.54
1.13	1.34	0.21
0.22	1.13	0.91
0.93	0.96	0.0299999999999999
0.93	1.63	0.7
0.93	2.78	1.85
0.74	0.93	0.19
0.93	2.12	1.19
0.93	2.41	1.48
0.69	0.93	0.24
0.93	1.84	0.91
0.93	2.87	1.94
0.63	0.93	0.3
0.21	0.93	0.72
0.93	1.56	0.63
0.76	0.93	0.17
0.39	0.93	0.54
0.93	1.1	0.17
0.93	1.84	0.91
0.93	1.14	0.21
0.93	3.83	2.9
0.49	0.93	0.44
0.93	1.96	1.03
0.93	1.41	0.48
0.93	1.5	0.57
0.93	1.65	0.72
0.93	1.49	0.56
0.72	0.93	0.21
0.93	1.45	0.52
0.92	0.93	0.01
0.93	1.12	0.19
0.93	1.65	0.72
0.93	1.34	0.41
0.93	1.01	0.08
0.93	3.66	2.73
0.93	2.64	1.71
0.93	2.08	1.15
0.93	1.11	0.18
0.93	0.98	0.0499999999999999
0.88	0.93	0.05
0.51	0.93	0.42
0.43	0.93	0.5
0.93	1.02	0.09
0.93	1.66	0.73
0.66	0.93	0.27
0.57	0.93	0.36
0.93	2.01	1.08
0.93	1.45	0.52
0.93	1.23	0.3
0.93	1.26	0.33
0.93	2.07	1.14
0.93	1.24	0.31
0.44	0.93	0.49
0.67	0.93	0.26
0.72	0.93	0.21
0.59	0.93	0.34
0.25	0.93	0.68
0.22	0.93	0.71
0.46	0.93	0.47
0.48	0.93	0.45
0.4	0.93	0.53
0.93	1.48	0.55
0.93	1.21	0.28
0.93	1.33	0.4
0.93	1.33	0.4
0.7	0.93	0.23
0.59	0.93	0.34
0.93	1.34	0.41
0.22	0.93	0.71
0.96	1.63	0.67
0.96	2.78	1.82
0.74	0.96	0.22
0.96	2.12	1.16
0.96	2.41	1.45
0.69	0.96	0.27
0.96	1.84	0.88
0.96	2.87	1.91
0.63	0.96	0.33
0.21	0.96	0.75
0.96	1.56	0.6
0.76	0.96	0.2
0.39	0.96	0.57
0.96	1.1	0.14
0.96	1.84	0.88
0.96	1.14	0.18
0.96	3.83	2.87
0.49	0.96	0.47
0.96	1.96	1
0.96	1.41	0.45
0.96	1.5	0.54
0.96	1.65	0.69
0.96	1.49	0.53
0.72	0.96	0.24
0.96	1.45	0.49
0.92	0.96	0.0399999999999999
0.96	1.12	0.16
0.96	1.65	0.69
0.96	1.34	0.38
0.96	1.01	0.05
0.96	3.66	2.7
0.96	2.64	1.68
0.96	2.08	1.12
0.96	1.11	0.15
0.96	0.98	0.02
0.88	0.96	0.08
0.51	0.96	0.45
0.43	0.96	0.53
0.96	1.02	0.0600000000000001
0.96	1.66	0.7
0.66	0.96	0.3
0.57	0.96	0.39
0.96	2.01	1.05
0.96	1.45	0.49
0.96	1.23	0.27
0.96	1.26	0.3
0.96	2.07	1.11
0.96	1.24	0.28
0.44	0.96	0.52
0.67	0.96	0.29
0.72	0.96	0.24
0.59	0.96	0.37
0.25	0.96	0.71
0.22	0.96	0.74
0.46	0.96	0.5
0.48	0.96	0.48
0.4	0.96	0.56
0.96	1.48	0.52
0.96	1.21	0.25
0.96	1.33	0.37
0.96	1.33	0.37
0.7	0.96	0.26
0.59	0.96	0.37
0.96	1.34	0.38
0.22	0.96	0.74
1.63	2.78	1.15
0.74	1.63	0.89
1.63	2.12	0.49
1.63	2.41	0.78
0.69	1.63	0.94
1.63	1.84	0.21
1.63	2.87	1.24
0.63	1.63	1
0.21	1.63	1.42
1.56	1.63	0.0699999999999998
0.76	1.63	0.87
0.39	1.63	1.24
1.1	1.63	0.53
1.63	1.84	0.21
1.14	1.63	0.49
1.63	3.83	2.2
0.49	1.63	1.14
1.63	1.96	0.33
1.41	1.63	0.22
1.5	1.63	0.13
1.63	1.65	0.02
1.49	1.63	0.14
0.72	1.63	0.91
1.45	1.63	0.18
0.92	1.63	0.71
1.12	1.63	0.51
1.63	1.65	0.02
1.34	1.63	0.29
1.01	1.63	0.62
1.63	3.66	2.03
1.63	2.64	1.01
1.63	2.08	0.45
1.11	1.63	0.52
0.98	1.63	0.65
0.88	1.63	0.75
0.51	1.63	1.12
0.43	1.63	1.2
1.02	1.63	0.61
1.63	1.66	0.03
0.66	1.63	0.97
0.57	1.63	1.06
1.63	2.01	0.38
1.45	1.63	0.18
1.23	1.63	0.4
1.26	1.63	0.37
1.63	2.07	0.44
1.24	1.63	0.39
0.44	1.63	1.19
0.67	1.63	0.96
0.72	1.63	0.91
0.59	1.63	1.04
0.25	1.63	1.38
0.22	1.63	1.41
0.46	1.63	1.17
0.48	1.63	1.15
0.4	1.63	1.23
1.48	1.63	0.15
1.21	1.63	0.42
1.33	1.63	0.3
1.33	1.63	0.3
0.7	1.63	0.93
0.59	1.63	1.04
1.34	1.63	0.29
0.22	1.63	1.41
0.74	2.78	2.04
2.12	2.78	0.66
2.41	2.78	0.37
0.69	2.78	2.09
1.84	2.78	0.94
2.78	2.87	0.0900000000000003
0.63	2.78	2.15
0.21	2.78	2.57
1.56	2.78	1.22
0.76	2.78	2.02
0.39	2.78	2.39
1.1	2.78	1.68
1.84	2.78	0.94
1.14	2.78	1.64
2.78	3.83	1.05
0.49	2.78	2.29
1.96	2.78	0.82
1.41	2.78	1.37
1.5	2.78	1.28
1.65	2.78	1.13
1.49	2.78	1.29
0.72	2.78	2.06
1.45	2.78	1.33
0.92	2.78	1.86
1.12	2.78	1.66
1.65	2.78	1.13
1.34	2.78	1.44
1.01	2.78	1.77
2.78	3.66	0.88
2.64	2.78	0.14
2.08	2.78	0.7
1.11	2.78	1.67
0.98	2.78	1.8
0.88	2.78	1.9
0.51	2.78	2.27
0.43	2.78	2.35
1.02	2.78	1.76
1.66	2.78	1.12
0.66	2.78	2.12
0.57	2.78	2.21
2.01	2.78	0.77
1.45	2.78	1.33
1.23	2.78	1.55
1.26	2.78	1.52
2.07	2.78	0.71
1.24	2.78	1.54
0.44	2.78	2.34
0.67	2.78	2.11
0.72	2.78	2.06
0.59	2.78	2.19
0.25	2.78	2.53
0.22	2.78	2.56
0.46	2.78	2.32
0.48	2.78	2.3
0.4	2.78	2.38
1.48	2.78	1.3
1.21	2.78	1.57
1.33	2.78	1.45
1.33	2.78	1.45
0.7	2.78	2.08
0.59	2.78	2.19
1.34	2.78	1.44
0.22	2.78	2.56
0.74	2.12	1.38
0.74	2.41	1.67
0.69	0.74	0.05
0.74	1.84	1.1
0.74	2.87	2.13
0.63	0.74	0.11
0.21	0.74	0.53
0.74	1.56	0.82
0.74	0.76	0.02
0.39	0.74	0.35
0.74	1.1	0.36
0.74	1.84	1.1
0.74	1.14	0.4
0.74	3.83	3.09
0.49	0.74	0.25
0.74	1.96	1.22
0.74	1.41	0.67
0.74	1.5	0.76
0.74	1.65	0.91
0.74	1.49	0.75
0.72	0.74	0.02
0.74	1.45	0.71
0.74	0.92	0.18
0.74	1.12	0.38
0.74	1.65	0.91
0.74	1.34	0.6
0.74	1.01	0.27
0.74	3.66	2.92
0.74	2.64	1.9
0.74	2.08	1.34
0.74	1.11	0.37
0.74	0.98	0.24
0.74	0.88	0.14
0.51	0.74	0.23
0.43	0.74	0.31
0.74	1.02	0.28
0.74	1.66	0.92
0.66	0.74	0.08
0.57	0.74	0.17
0.74	2.01	1.27
0.74	1.45	0.71
0.74	1.23	0.49
0.74	1.26	0.52
0.74	2.07	1.33
0.74	1.24	0.5
0.44	0.74	0.3
0.67	0.74	0.07
0.72	0.74	0.02
0.59	0.74	0.15
0.25	0.74	0.49
0.22	0.74	0.52
0.46	0.74	0.28
0.48	0.74	0.26
0.4	0.74	0.34
0.74	1.48	0.74
0.74	1.21	0.47
0.74	1.33	0.59
0.74	1.33	0.59
0.7	0.74	0.04
0.59	0.74	0.15
0.74	1.34	0.6
0.22	0.74	0.52
2.12	2.41	0.29
0.69	2.12	1.43
1.84	2.12	0.28
2.12	2.87	0.75
0.63	2.12	1.49
0.21	2.12	1.91
1.56	2.12	0.56
0.76	2.12	1.36
0.39	2.12	1.73
1.1	2.12	1.02
1.84	2.12	0.28
1.14	2.12	0.98
2.12	3.83	1.71
0.49	2.12	1.63
1.96	2.12	0.16
1.41	2.12	0.71
1.5	2.12	0.62
1.65	2.12	0.47
1.49	2.12	0.63
0.72	2.12	1.4
1.45	2.12	0.67
0.92	2.12	1.2
1.12	2.12	1
1.65	2.12	0.47
1.34	2.12	0.78
1.01	2.12	1.11
2.12	3.66	1.54
2.12	2.64	0.52
2.08	2.12	0.04
1.11	2.12	1.01
0.98	2.12	1.14
0.88	2.12	1.24
0.51	2.12	1.61
0.43	2.12	1.69
1.02	2.12	1.1
1.66	2.12	0.46
0.66	2.12	1.46
0.57	2.12	1.55
2.01	2.12	0.11
1.45	2.12	0.67
1.23	2.12	0.89
1.26	2.12	0.86
2.07	2.12	0.0500000000000003
1.24	2.12	0.88
0.44	2.12	1.68
0.67	2.12	1.45
0.72	2.12	1.4
0.59	2.12	1.53
0.25	2.12	1.87
0.22	2.12	1.9
0.46	2.12	1.66
0.48	2.12	1.64
0.4	2.12	1.72
1.48	2.12	0.64
1.21	2.12	0.91
1.33	2.12	0.79
1.33	2.12	0.79
0.7	2.12	1.42
0.59	2.12	1.53
1.34	2.12	0.78
0.22	2.12	1.9
0.69	2.41	1.72
1.84	2.41	0.57
2.41	2.87	0.46
0.63	2.41	1.78
0.21	2.41	2.2
1.56	2.41	0.85
0.76	2.41	1.65
0.39	2.41	2.02
1.1	2.41	1.31
1.84	2.41	0.57
1.14	2.41	1.27
2.41	3.83	1.42
0.49	2.41	1.92
1.96	2.41	0.45
1.41	2.41	1
1.5	2.41	0.91
1.65	2.41	0.76
1.49	2.41	0.92
0.72	2.41	1.69
1.45	2.41	0.96
0.92	2.41	1.49
1.12	2.41	1.29
1.65	2.41	0.76
1.34	2.41	1.07
1.01	2.41	1.4
2.41	3.66	1.25
2.41	2.64	0.23
2.08	2.41	0.33
1.11	2.41	1.3
0.98	2.41	1.43
0.88	2.41	1.53
0.51	2.41	1.9
0.43	2.41	1.98
1.02	2.41	1.39
1.66	2.41	0.75
0.66	2.41	1.75
0.57	2.41	1.84
2.01	2.41	0.4
1.45	2.41	0.96
1.23	2.41	1.18
1.26	2.41	1.15
2.07	2.41	0.34
1.24	2.41	1.17
0.44	2.41	1.97
0.67	2.41	1.74
0.72	2.41	1.69
0.59	2.41	1.82
0.25	2.41	2.16
0.22	2.41	2.19
0.46	2.41	1.95
0.48	2.41	1.93
0.4	2.41	2.01
1.48	2.41	0.93
1.21	2.41	1.2
1.33	2.41	1.08
1.33	2.41	1.08
0.7	2.41	1.71
0.59	2.41	1.82
1.34	2.41	1.07
0.22	2.41	2.19
0.69	1.84	1.15
0.69	2.87	2.18
0.63	0.69	0.0599999999999999
0.21	0.69	0.48
0.69	1.56	0.87
0.69	0.76	0.0700000000000001
0.39	0.69	0.3
0.69	1.1	0.41
0.69	1.84	1.15
0.69	1.14	0.45
0.69	3.83	3.14
0.49	0.69	0.2
0.69	1.96	1.27
0.69	1.41	0.72
0.69	1.5	0.81
0.69	1.65	0.96
0.69	1.49	0.8
0.69	0.72	0.03
0.69	1.45	0.76
0.69	0.92	0.23
0.69	1.12	0.43
0.69	1.65	0.96
0.69	1.34	0.65
0.69	1.01	0.32
0.69	3.66	2.97
0.69	2.64	1.95
0.69	2.08	1.39
0.69	1.11	0.42
0.69	0.98	0.29
0.69	0.88	0.19
0.51	0.69	0.18
0.43	0.69	0.26
0.69	1.02	0.33
0.69	1.66	0.97
0.66	0.69	0.0299999999999999
0.57	0.69	0.12
0.69	2.01	1.32
0.69	1.45	0.76
0.69	1.23	0.54
0.69	1.26	0.57
0.69	2.07	1.38
0.69	1.24	0.55
0.44	0.69	0.25
0.67	0.69	0.0199999999999999
0.69	0.72	0.03
0.59	0.69	0.1
0.25	0.69	0.44
0.22	0.69	0.47
0.46	0.69	0.23
0.48	0.69	0.21
0.4	0.69	0.29
0.69	1.48	0.79
0.69	1.21	0.52
0.69	1.33	0.64
0.69	1.33	0.64
0.69	0.7	0.01
0.59	0.69	0.1
0.69	1.34	0.65
0.22	0.69	0.47
1.84	2.87	1.03
0.63	1.84	1.21
0.21	1.84	1.63
1.56	1.84	0.28
0.76	1.84	1.08
0.39	1.84	1.45
1.1	1.84	0.74
1.84	1.84	0
1.14	1.84	0.7
1.84	3.83	1.99
0.49	1.84	1.35
1.84	1.96	0.12
1.41	1.84	0.43
1.5	1.84	0.34
1.65	1.84	0.19
1.49	1.84	0.35
0.72	1.84	1.12
1.45	1.84	0.39
0.92	1.84	0.92
1.12	1.84	0.72
1.65	1.84	0.19
1.34	1.84	0.5
1.01	1.84	0.83
1.84	3.66	1.82
1.84	2.64	0.8
1.84	2.08	0.24
1.11	1.84	0.73
0.98	1.84	0.86
0.88	1.84	0.96
0.51	1.84	1.33
0.43	1.84	1.41
1.02	1.84	0.82
1.66	1.84	0.18
0.66	1.84	1.18
0.57	1.84	1.27
1.84	2.01	0.17
1.45	1.84	0.39
1.23	1.84	0.61
1.26	1.84	0.58
1.84	2.07	0.23
1.24	1.84	0.6
0.44	1.84	1.4
0.67	1.84	1.17
0.72	1.84	1.12
0.59	1.84	1.25
0.25	1.84	1.59
0.22	1.84	1.62
0.46	1.84	1.38
0.48	1.84	1.36
0.4	1.84	1.44
1.48	1.84	0.36
1.21	1.84	0.63
1.33	1.84	0.51
1.33	1.84	0.51
0.7	1.84	1.14
0.59	1.84	1.25
1.34	1.84	0.5
0.22	1.84	1.62
0.63	2.87	2.24
0.21	2.87	2.66
1.56	2.87	1.31
0.76	2.87	2.11
0.39	2.87	2.48
1.1	2.87	1.77
1.84	2.87	1.03
1.14	2.87	1.73
2.87	3.83	0.96
0.49	2.87	2.38
1.96	2.87	0.91
1.41	2.87	1.46
1.5	2.87	1.37
1.65	2.87	1.22
1.49	2.87	1.38
0.72	2.87	2.15
1.45	2.87	1.42
0.92	2.87	1.95
1.12	2.87	1.75
1.65	2.87	1.22
1.34	2.87	1.53
1.01	2.87	1.86
2.87	3.66	0.79
2.64	2.87	0.23
2.08	2.87	0.79
1.11	2.87	1.76
0.98	2.87	1.89
0.88	2.87	1.99
0.51	2.87	2.36
0.43	2.87	2.44
1.02	2.87	1.85
1.66	2.87	1.21
0.66	2.87	2.21
0.57	2.87	2.3
2.01	2.87	0.86
1.45	2.87	1.42
1.23	2.87	1.64
1.26	2.87	1.61
2.07	2.87	0.8
1.24	2.87	1.63
0.44	2.87	2.43
0.67	2.87	2.2
0.72	2.87	2.15
0.59	2.87	2.28
0.25	2.87	2.62
0.22	2.87	2.65
0.46	2.87	2.41
0.48	2.87	2.39
0.4	2.87	2.47
1.48	2.87	1.39
1.21	2.87	1.66
1.33	2.87	1.54
1.33	2.87	1.54
0.7	2.87	2.17
0.59	2.87	2.28
1.34	2.87	1.53
0.22	2.87	2.65
0.21	0.63	0.42
0.63	1.56	0.93
0.63	0.76	0.13
0.39	0.63	0.24
0.63	1.1	0.47
0.63	1.84	1.21
0.63	1.14	0.51
0.63	3.83	3.2
0.49	0.63	0.14
0.63	1.96	1.33
0.63	1.41	0.78
0.63	1.5	0.87
0.63	1.65	1.02
0.63	1.49	0.86
0.63	0.72	0.09
0.63	1.45	0.82
0.63	0.92	0.29
0.63	1.12	0.49
0.63	1.65	1.02
0.63	1.34	0.71
0.63	1.01	0.38
0.63	3.66	3.03
0.63	2.64	2.01
0.63	2.08	1.45
0.63	1.11	0.48
0.63	0.98	0.35
0.63	0.88	0.25
0.51	0.63	0.12
0.43	0.63	0.2
0.63	1.02	0.39
0.63	1.66	1.03
0.63	0.66	0.03
0.57	0.63	0.0600000000000001
0.63	2.01	1.38
0.63	1.45	0.82
0.63	1.23	0.6
0.63	1.26	0.63
0.63	2.07	1.44
0.63	1.24	0.61
0.44	0.63	0.19
0.63	0.67	0.04
0.63	0.72	0.09
0.59	0.63	0.04
0.25	0.63	0.38
0.22	0.63	0.41
0.46	0.63	0.17
0.48	0.63	0.15
0.4	0.63	0.23
0.63	1.48	0.85
0.63	1.21	0.58
0.63	1.33	0.7
0.63	1.33	0.7
0.63	0.7	0.07
0.59	0.63	0.04
0.63	1.34	0.71
0.22	0.63	0.41
0.21	1.56	1.35
0.21	0.76	0.55
0.21	0.39	0.18
0.21	1.1	0.89
0.21	1.84	1.63
0.21	1.14	0.93
0.21	3.83	3.62
0.21	0.49	0.28
0.21	1.96	1.75
0.21	1.41	1.2
0.21	1.5	1.29
0.21	1.65	1.44
0.21	1.49	1.28
0.21	0.72	0.51
0.21	1.45	1.24
0.21	0.92	0.71
0.21	1.12	0.91
0.21	1.65	1.44
0.21	1.34	1.13
0.21	1.01	0.8
0.21	3.66	3.45
0.21	2.64	2.43
0.21	2.08	1.87
0.21	1.11	0.9
0.21	0.98	0.77
0.21	0.88	0.67
0.21	0.51	0.3
0.21	0.43	0.22
0.21	1.02	0.81
0.21	1.66	1.45
0.21	0.66	0.45
0.21	0.57	0.36
0.21	2.01	1.8
0.21	1.45	1.24
0.21	1.23	1.02
0.21	1.26	1.05
0.21	2.07	1.86
0.21	1.24	1.03
0.21	0.44	0.23
0.21	0.67	0.46
0.21	0.72	0.51
0.21	0.59	0.38
0.21	0.25	0.04
0.21	0.22	0.01
0.21	0.46	0.25
0.21	0.48	0.27
0.21	0.4	0.19
0.21	1.48	1.27
0.21	1.21	1
0.21	1.33	1.12
0.21	1.33	1.12
0.21	0.7	0.49
0.21	0.59	0.38
0.21	1.34	1.13
0.21	0.22	0.01
0.76	1.56	0.8
0.39	1.56	1.17
1.1	1.56	0.46
1.56	1.84	0.28
1.14	1.56	0.42
1.56	3.83	2.27
0.49	1.56	1.07
1.56	1.96	0.4
1.41	1.56	0.15
1.5	1.56	0.0600000000000001
1.56	1.65	0.0899999999999999
1.49	1.56	0.0700000000000001
0.72	1.56	0.84
1.45	1.56	0.11
0.92	1.56	0.64
1.12	1.56	0.44
1.56	1.65	0.0899999999999999
1.34	1.56	0.22
1.01	1.56	0.55
1.56	3.66	2.1
1.56	2.64	1.08
1.56	2.08	0.52
1.11	1.56	0.45
0.98	1.56	0.58
0.88	1.56	0.68
0.51	1.56	1.05
0.43	1.56	1.13
1.02	1.56	0.54
1.56	1.66	0.0999999999999999
0.66	1.56	0.9
0.57	1.56	0.99
1.56	2.01	0.45
1.45	1.56	0.11
1.23	1.56	0.33
1.26	1.56	0.3
1.56	2.07	0.51
1.24	1.56	0.32
0.44	1.56	1.12
0.67	1.56	0.89
0.72	1.56	0.84
0.59	1.56	0.97
0.25	1.56	1.31
0.22	1.56	1.34
0.46	1.56	1.1
0.48	1.56	1.08
0.4	1.56	1.16
1.48	1.56	0.0800000000000001
1.21	1.56	0.35
1.33	1.56	0.23
1.33	1.56	0.23
0.7	1.56	0.86
0.59	1.56	0.97
1.34	1.56	0.22
0.22	1.56	1.34
0.39	0.76	0.37
0.76	1.1	0.34
0.76	1.84	1.08
0.76	1.14	0.38
0.76	3.83	3.07
0.49	0.76	0.27
0.76	1.96	1.2
0.76	1.41	0.65
0.76	1.5	0.74
0.76	1.65	0.89
0.76	1.49	0.73
0.72	0.76	0.04
0.76	1.45	0.69
0.76	0.92	0.16
0.76	1.12	0.36
0.76	1.65	0.89
0.76	1.34	0.58
0.76	1.01	0.25
0.76	3.66	2.9
0.76	2.64	1.88
0.76	2.08	1.32
0.76	1.11	0.35
0.76	0.98	0.22
0.76	0.88	0.12
0.51	0.76	0.25
0.43	0.76	0.33
0.76	1.02	0.26
0.76	1.66	0.9
0.66	0.76	0.1
0.57	0.76	0.19
0.76	2.01	1.25
0.76	1.45	0.69
0.76	1.23	0.47
0.76	1.26	0.5
0.76	2.07	1.31
0.76	1.24	0.48
0.44	0.76	0.32
0.67	0.76	0.09
0.72	0.76	0.04
0.59	0.76	0.17
0.25	0.76	0.51
0.22	0.76	0.54
0.46	0.76	0.3
0.48	0.76	0.28
0.4	0.76	0.36
0.76	1.48	0.72
0.76	1.21	0.45
0.76	1.33	0.57
0.76	1.33	0.57
0.7	0.76	0.0600000000000001
